x,y,lon,lat,dist_wells,dist_wells_km,weight_wells,dist_sections,dist_sections_km,weight_sections,dist_maps,dist_maps_km,weight_maps,weight_combined
665516.91589689,5072455.70902327,11.12938069952922,45.785816993648666,,,,112.57566729860665,0.11257566729860664,0.9065319531904992,3425.490991109882,3.425490991109882,0.0,0.4532659765952496
665716.91589689,5072455.70902327,11.13195190803469,45.7857690248407,,,,10.91548900848719,0.01091548900848719,0.9991996792141866,3309.820205836668,3.309820205836668,0.0013140620560576825,0.5002568706351221
665916.91589689,5072455.70902327,11.134523110031258,45.78572099821119,,,,134.32174043118476,0.13432174043118478,0.8675983084139938,3202.4726477761524,3.2024726477761525,0.0027017526251932843,0.4351500305195935
666116.91589689,5072455.70902327,11.137094305511111,45.785672913760514,,,,257.7650616821116,0.2577650616821116,0.5343182846928329,3104.3118922788863,3.1043118922788864,0.004136035547133773,0.2692271601199834
666316.91589689,5072455.70902327,11.139665494466422,45.78562477148906,,,,361.3528514781042,0.3613528514781042,0.1366623050820579,3016.2350023388162,3.0162350023388163,0.005578348818588989,0.07112032695032344
666516.91589689,5072455.70902327,11.142236676889373,45.7855765713972,,,,308.81195887273117,0.30881195887273116,0.3492232312816693,2939.148661453442,2.939148661453442,0.006978397558899992,0.17810081442028466
666716.91589689,5072455.70902327,11.144807852772145,45.78552831348532,,,,194.3823994202172,0.1943823994202172,0.7279019391618518,2863.1822195379295,2.8631822195379297,0.008500513413878627,0.36820122628786517
666916.91589689,5072455.70902327,11.147379022106914,45.78547999775384,,,,103.35145613496593,0.10335145613496594,0.921080366590312,2788.7170154853698,2.7887170154853695,0.010147213150841968,0.465613789870577
667116.91589689,5072455.70902327,11.149950184885864,45.78543162420309,,,,103.13592428545256,0.10313592428545255,0.9214060970088614,2726.916346835215,2.726916346835215,0.011644117618185054,0.46652510731352326
667316.91589689,5072455.70902327,11.152521341101172,45.78538319283349,,,,159.34326994362078,0.15934326994362077,0.8149755145889483,2678.6569270469477,2.678656927046948,0.012903855746812503,0.41393968516788043
667516.91589689,5072455.70902327,11.155092490745021,45.785334703645425,,,,41.05799780070585,0.04105799780070585,0.9875089693151827,2644.680151359722,2.644680151359722,0.013842488431202844,0.5006757288731928
667716.91589689,5072455.70902327,11.157663633809591,45.78528615663927,,,,21.44150493845642,0.021441504938456417,0.9966549375059294,2625.540567802289,2.6255405678022887,0.01439114258498246,0.5055230400454559
667916.91589689,5072455.70902327,11.16023477028706,45.78523755181542,,,,148.73815676676924,0.14873815676676924,0.838280633695242,2621.563167912429,2.621563167912429,0.014507017587065244,0.42639382564115363
665516.91589689,5072655.70902327,11.129449224765056,45.78761588497446,,,,273.1299877860237,0.2731299877860237,0.4811053002287604,3267.347342286527,3.2673473422865267,0.001842274940820617,0.24147378758479052
665716.91589689,5072655.70902327,11.132020515861424,45.78756791317337,,,,181.92099806848185,0.18192099806848186,0.7605998757255111,3145.867117336101,3.145867117336101,0.0035079868306061323,0.38205393127805864
665916.91589689,5072655.70902327,11.134591800448131,45.78751988354714,,,,76.4811629616386,0.07648116296163861,0.9566153793631446,3032.7217453512394,3.0327217453512394,0.005296208511429457,0.480955793937287
666116.91589689,5072655.70902327,11.137163078517359,45.78747179609615,,,,78.7456672809604,0.0787456672809604,0.9540188981917495,2928.8773360309897,2.9288773360309897,0.007175557965365559,0.4805972280785575
666316.91589689,5072655.70902327,11.139734350061282,45.78742365082078,,,,192.43104469588735,0.19243104469588734,0.7331452098008515,2835.3560119155595,2.8353560119155596,0.009096933412994676,0.3711210716069231
666516.91589689,5072655.70902327,11.142305615072079,45.78737544772139,,,,313.5854729244333,0.3135854729244333,0.3307613938281773,2753.2099409771545,2.7532099409771544,0.010991930564652403,0.17087666219641487
666716.91589689,5072655.70902327,11.144876873541932,45.78732718679839,,,,368.9226432149251,0.3689226432149251,0.1044875121963775,2681.298503782902,2.681298503782902,0.012832716315967378,0.058660114256172444
